line,total_obs,zscore_anomaly_count,iforest_anomaly_count,avg_iforest_score,zscore_anomaly_rate,iforest_anomaly_rate
ULUS MAHALLESI - KABATAS,1057,0,3,0.4027586753509199,0.0,0.0028382213812677
YESILKENT- AVCILAR METROBUS,11752,12,33,0.4393986672219599,0.0010211027910142,0.0028080326752893
KAVACIK-KOZYATAGI METRO,2151,22,6,0.400877430170615,0.0102278010227801,0.00278940027894
KARTAL-MECIDIYEKOY-SISLI,6472,46,18,0.4130792351675995,0.0071075401730531,0.0027812113720642
USKUDAR-TUFAN MAHALLESI,6501,61,18,0.4005934742090779,0.00938317181972,0.0027688047992616
BEYKOZ-MECIDIYEKOY,6870,11,19,0.4191952928705877,0.0016011644832605,0.0027656477438136
TAKSIM - KABATAS,5797,19,16,0.4217928900558061,0.0032775573572537,0.0027600483008452
SAHINTEPESI - YENIBOSNA METRO,7271,26,20,0.4129730122793289,0.0035758492642002,0.002750653280154
CEBECI MAHALLESI-MECIDIYEKOY,10127,133,27,0.4043034711016545,0.0131332082551594,0.0026661400217241
BEYOGLU-TAKSIM,4141,21,11,0.4371660998167406,0.0050712388312001,0.0026563631972953
MEHMET AKIF MAHALLESI - ZEYTINBURNU METRO,8324,99,22,0.403376698371754,0.0118933205189812,0.0026429601153291
SABIHA GOKCEN HAVALIMANI - KADIKOY,5733,35,15,0.4454108470954021,0.0061050061050061,0.0026164311878597
ISTANBUL HAVALIMANI - MAHMUTBEY METRO,5761,31,15,0.4366198415266519,0.0053810102412775,0.0026037146328762
CAGLAYAN-TOPKAPI,6559,22,17,0.4123151449296641,0.0033541698429638,0.0025918585150175
KAYABASI KIPTAS-KAYASEHIR-EMINONU,14052,111,36,0.4139273015688184,0.0078992314261315,0.0025619128949615
SARIYER-FSM MAH.,5083,69,13,0.39768665390751,0.0135746606334841,0.0025575447570332
SEYRANTEPE-GULTEPE-PERPA,6715,68,17,0.4042120362286929,0.010126582278481,0.0025316455696202
SADABAT EVL.-TALATPASA - EMINONU,1198,3,3,0.4057811391628638,0.0025041736227045,0.0025041736227045
BAHCEKENT-BAHCESEHIR-ISPARTAKULE-HALKALI ISTASYONU,5991,51,15,0.4037599060008024,0.0085127691537305,0.0025037556334501
KADIKOY-MARMARA EGT.ARS.HAST-KURTKOY,11762,54,29,0.4098257007345723,0.0045910559428668,0.0024655670804284
USKUDAR-BULGURLU MAHALLESI,6902,83,17,0.4001459200396711,0.0120254998551144,0.0024630541871921
EMNIYETTEPE- HAMIDIYE MAH. - BESIKTAS,8128,83,20,0.3964997288976292,0.0102116141732283,0.0024606299212598
GIYIMKENT / FATIH MAHALLESI - KUYUMCUKENT,12633,127,31,0.4039720730055398,0.0100530357001504,0.0024538906039737
CEVATPASA MAHALLESI - MECIDIYEKOY,9414,102,23,0.4034357033756956,0.0108349267049075,0.002443169747185
CEBECI MAHALLESI - VEZNECILER,7145,35,17,0.4044610667936797,0.0048985304408677,0.0023792862141357
YENIBOSNA METRO-ARNAVUTKOY,14562,152,34,0.4102762192444711,0.0104381266309572,0.0023348441148193
KADIKOY-KUPLUCE MAH,5999,17,14,0.4093965152166597,0.0028338056342723,0.0023337222870478
BASAKSEHIR 4.ETAP - EMINONU,11207,78,26,0.4095832935294341,0.0069599357544391,0.002319978584813
GUZELTEPE-USKUDAR,4774,41,11,0.3993472907405251,0.0085881860075408,0.0023041474654377
CIRCIR METRO/IMAR - SISLI,9180,87,21,0.4020494318338442,0.0094771241830065,0.0022875816993464
DRAMAN - BEYAZIT,5276,48,12,0.3998006008980688,0.0090978013646702,0.0022744503411675
RUMELI KAVAGI - HACI OSMAN METRO,6604,48,15,0.3992696363135858,0.0072683222289521,0.0022713506965475
YESILPINAR MAH.EMINONU,6203,46,14,0.4058538486435303,0.0074157665645655,0.0022569724326938
HALIC,17344,129,39,0.4191079520317801,0.0074377306273062,0.0022486162361623
HACIOSMAN METRO-KOCTAS,5858,58,13,0.3949062635671612,0.0099009900990099,0.0022191874359849
GAZIOSMANPASA - BESIKTAS,6324,33,14,0.4049155521011549,0.0052182163187855,0.0022137887413029
UMR.DEVLET HST.-C.BASI-KAVACIK,10907,63,24,0.406082047943139,0.0057761070871917,0.0022004217475016
SOGUTLUCESME - ZEYTINBURNU METRO,7742,51,17,0.4041730787499705,0.0065874451046241,0.0021958150348747
HACI OSMAN METRO -  RUMELI FENERI,6876,32,15,0.4030215889484813,0.004653868528214,0.0021815008726003
ORNEKTEPE -TAKSIM,6535,29,14,0.4116847189600352,0.0044376434583014,0.002142310635042
DEGIRMENDERE-KAVACIK,7094,59,15,0.3984464721445241,0.0083168875105723,0.0021144629264166
